# Direction numbers for the Sobol sequence from https://web.maths.unsw.edu.au/~fkuo/sobol/
# COL0: Polynomials
# COL1 - COL12: Direction numbers
985	1	1	1	11	15	19	35	75	301	0	0	0	0
995	1	3	7	11	21	5	21	217	147	0	0	0	0
1001	1	1	3	13	17	53	89	245	333	0	0	0	0
1019	1	3	1	5	19	37	5	111	85	0	0	0	0
1033	1	1	7	3	19	7	1	189	221	519	0	0	0
1051	1	1	1	15	21	51	91	165	423	307	0	0	0
1063	1	3	7	1	5	45	53	169	49	931	0	0	0
1069	1	3	3	11	11	7	35	141	3	1023	0	0	0
1125	1	1	3	11	3	7	95	221	43	517	0	0	0
1135	1	3	5	7	5	61	83	249	229	771	0	0	0
1153	1	3	7	13	29	23	19	159	227	151	0	0	0
1163	1	1	3	15	31	45	85	253	201	1023	0	0	0
1221	1	1	3	11	29	7	55	207	383	539	0	0	0
1239	1	1	5	13	5	59	51	249	281	725	0	0	0
1255	1	3	1	9	5	41	101	219	229	45	0	0	0
1267	1	3	3	11	1	1	33	23	207	927	0	0	0
1279	1	1	3	15	31	29	41	49	21	707	0	0	0
1293	1	3	1	15	27	61	55	127	343	29	0	0	0
1305	1	3	3	13	11	37	45	237	251	125	0	0	0
1315	1	1	5	3	13	27	95	5	397	371	0	0	0
1329	1	3	1	15	1	47	61	25	173	275	0	0	0
1341	1	1	3	7	3	15	27	177	507	279	0	0	0
1347	1	1	3	9	7	31	37	37	421	817	0	0	0
1367	1	3	3	11	11	35	89	103	443	389	0	0	0
1387	1	3	7	13	7	31	75	65	399	453	0	0	0
1413	1	3	1	11	3	17	57	167	53	989	0	0	0
1423	1	1	1	9	23	51	61	81	345	1015	0	0	0
1431	1	1	7	9	13	13	15	87	77	29	0	0	0
1441	1	1	3	5	31	25	117	119	385	169	0	0	0
1479	1	3	1	13	17	45	15	45	317	743	0	0	0
1509	1	1	3	9	1	5	21	79	155	99	0	0	0
1527	1	1	7	1	27	5	27	143	187	923	0	0	0
1531	1	3	5	13	11	33	25	57	269	981	0	0	0
1555	1	1	5	7	25	39	27	79	501	181	0	0	0
1557	1	1	7	7	1	5	123	187	19	693	0	0	0
1573	1	3	5	7	23	47	39	143	169	309	0	0	0
1591	1	3	5	7	29	29	109	183	235	227	0	0	0
1603	1	1	3	7	17	35	93	75	415	111	0	0	0
1615	1	3	1	5	25	47	51	97	61	219	0	0	0
1627	1	1	3	9	7	63	21	211	247	897	0	0	0
1657	1	3	3	7	25	45	91	149	183	377	0	0	0
1663	1	3	3	13	27	37	109	175	5	425	0	0	0
1673	1	3	1	11	17	47	107	37	257	609	0	0	0
1717	1	3	3	9	13	59	45	135	401	227	0	0	0
1729	1	1	3	11	17	21	15	189	451	19	0	0	0
1747	1	1	7	15	23	59	93	225	95	221	0	0	0
1759	1	1	3	3	5	33	127	241	455	143	0	0	0
1789	1	3	3	13	17	51	3	63	49	581	0	0	0
1815	1	3	1	11	5	9	53	33	489	147	0	0	0
1821	1	1	7	1	13	27	81	43	75	919	0	0	0
1825	1	1	5	11	11	13	79	13	459	127	0	0	0
1849	1	3	1	3	21	25	107	73	377	725	0	0	0
1863	1	1	7	3	5	43	79	213	87	793	0	0	0
1869	1	1	7	9	11	3	87	57	463	289	0	0	0
1877	1	1	5	11	5	17	35	239	155	411	0	0	0
1881	1	1	7	1	9	21	109	183	233	835	0	0	0
1891	1	1	5	7	31	59	73	117	115	921	0	0	0
